cl.nom,cl.ave,temp,week,species,group,conc.meso,biomass.ug
0,18.26,A,0,anuraeopsis,rotifer,0,0.002999999
0,20.605,W,0,anuraeopsis,rotifer,0,0.002999999
0,18.26,A,0,ascomorpha,rotifer,3.425925926,0.000548318
0,20.605,W,0,ascomorpha,rotifer,3.703703704,0.000582207
0,18.26,A,0,asplancha,rotifer,1.481481481,0.005065517
0,20.605,W,0,asplancha,rotifer,0.694444444,0.003467832
0,18.26,A,0,bipalpus,rotifer,0.37037037,0.000702887
0,20.605,W,0,bipalpus,rotifer,0.578703704,0.00081122
0,18.26,A,0,bosmina.longirostris,cladoceran,0.648148148,3.515701571
0,20.605,W,0,bosmina.longirostris,cladoceran,3.009259259,7.889778984
0,18.26,A,0,brachionus,rotifer,0,0.000626808
0,20.605,W,0,brachionus,rotifer,0,0.000626808
0,18.26,A,0,ceriodaphnia.dubia,cladoceran,0.833333333,1.086647355
0,20.605,W,0,ceriodaphnia.dubia,cladoceran,1.273148148,1.25479617
0,18.26,A,0,chydorid.spp,cladoceran,0,1.535838575
0,20.605,W,0,chydorid.spp,cladoceran,0,1.535838575
0,18.26,A,0,chydorus.sphaericus,cladoceran,0,0.479491816
0,20.605,W,0,chydorus.sphaericus,cladoceran,0,0.479491816
0,18.26,A,0,collotheca.pelagica,rotifer,2.12962963,0.02917952
0,20.605,W,0,collotheca.pelagica,rotifer,0.810185185,0.016816325
0,18.26,A,0,conochilus,rotifer,21.06481481,1.103240741
0,20.605,W,0,conochilus,rotifer,4.74537037,0.287268519
0,18.26,A,0,cyclops.scutifer,copepod,0,2.999700725
0,20.605,W,0,cyclops.scutifer,copepod,0,2.999700725
0,18.26,A,0,daphnia.longiremus,cladoceran,1.851851852,1.262546457
0,20.605,W,0,daphnia.longiremus,cladoceran,3.009259259,2.206757905
0,18.26,A,0,daphnia.mendotae,cladoceran,0.462962963,18.00549601
0,20.605,W,0,daphnia.mendotae,cladoceran,0.115740741,12.37172204
0,18.26,A,0,diacyclops.thomasi,copepod,0,0.544937612
0,20.605,W,0,diacyclops.thomasi,copepod,1.273148148,1.134696012
0,18.26,A,0,diaphanosoma.brachyrum,cladoceran,0.648148148,0.816068925
0,20.605,W,0,diaphanosoma.brachyrum,cladoceran,0.694444444,0.627926686
0,18.26,A,0,epischura.lacustris,copepod,0,7.253513626
0,20.605,W,0,epischura.lacustris,copepod,0,7.253513626
0,18.26,A,0,eubosmina.coregoni,cladoceran,0,2.630028815
0,20.605,W,0,eubosmina.coregoni,cladoceran,0.115740741,3.001946553
0,18.26,A,0,eubosmina.longirostris,cladoceran,0.833333333,1.416992371
0,20.605,W,0,eubosmina.longirostris,cladoceran,11.45833333,12.91659589
